Message,Field 1,Value 1,Field 2,Value 2,Field 3,Value 3,Field 4,Value 4,Field 5,Value 5,Field 6,Value 6,Field 9,Value 9
record,timestamp,1092223554,position_lat,468008026,position_long,-916424121.0,distance,1106.25,enhanced_speed,3.023,enhanced_altitude,148.0,cadence,83.0
record,timestamp,1,distance,1,enhanced_speed,1.0,enhanced_altitude,1.0,unknown,1,heart_rate,1.0,fractional_cadence,1.0
record,timestamp,1092223561,distance,1126.84,enhanced_speed,3.023,enhanced_altitude,148.0,unknown,100,heart_rate,145.0,fractional_cadence,0.5
record,timestamp,1092223564,position_lat,468005712,position_long,-916426844.0,distance,1132.87,enhanced_speed,3.014,enhanced_altitude,148.0,cadence,84.0
record,timestamp,1092223571,position_lat,468004362,position_long,-916429078.0,distance,1153.39,enhanced_speed,3.023,enhanced_altitude,148.0,cadence,83.0
record,timestamp,1092223572,position_lat,468004196,position_long,-916429418.0,distance,1156.3,enhanced_speed,3.023,enhanced_altitude,147.79999999999995,cadence,83.0
record,timestamp,1092223579,position_lat,468002959,position_long,-916431829.0,distance,1177.21,enhanced_speed,3.032,enhanced_altitude,147.20000000000005,cadence,83.0
record,timestamp,1092223580,position_lat,468002789,position_long,-916432197.0,distance,1180.3,enhanced_speed,3.032,enhanced_altitude,147.0,cadence,83.0
record,timestamp,1092223585,position_lat,468001569,position_long,-916433406.0,distance,1195.13,enhanced_speed,3.032,enhanced_altitude,146.79999999999995,cadence,85.0
record,timestamp,1092223588,position_lat,468000577,position_long,-916433864.0,distance,1204.93,enhanced_speed,3.042,enhanced_altitude,146.60000000000002,cadence,86.0
record,timestamp,1092223590,position_lat,467999966,position_long,-916434294.0,distance,1211.42,enhanced_speed,3.051,enhanced_altitude,146.20000000000005,cadence,84.0
record,timestamp,1092223591,position_lat,467999764,position_long,-916434602.0,distance,1214.33,enhanced_speed,3.051,enhanced_altitude,146.20000000000005,cadence,84.0
record,timestamp,1092223592,position_lat,467999596,position_long,-916434951.0,distance,1217.3,enhanced_speed,3.051,enhanced_altitude,146.0,cadence,83.0
record,timestamp,1092223598,position_lat,467998847,position_long,-916437429.0,distance,1236.62,enhanced_speed,3.06,enhanced_altitude,145.20000000000005,cadence,83.0
record,timestamp,1092223599,position_lat,467998739,position_long,-916437887.0,distance,1240.07,enhanced_speed,3.07,enhanced_altitude,145.0,cadence,84.0
record,timestamp,1092223606,position_lat,467998058,position_long,-916440922.0,distance,1262.89,enhanced_speed,3.116,enhanced_altitude,144.39999999999998,cadence,83.0
record,timestamp,1092223607,position_lat,467997980,position_long,-916441268.0,distance,1265.48,enhanced_speed,3.116,enhanced_altitude,144.20000000000005,cadence,83.0
record,timestamp,1092223609,position_lat,467997776,position_long,-916442014.0,distance,1271.2,enhanced_speed,3.107,enhanced_altitude,144.0,cadence,83.0
record,timestamp,1092223612,position_lat,467997567,position_long,-916443149.0,distance,1279.64,enhanced_speed,3.098,enhanced_altitude,143.60000000000002,cadence,83.0
record,timestamp,1092223615,position_lat,467997276,position_long,-916444348.0,distance,1288.73,enhanced_speed,3.088,enhanced_altitude,143.20000000000005,cadence,82.0
record,timestamp,1092223616,position_lat,467997167,position_long,-916444712.0,distance,1291.55,enhanced_speed,3.088,enhanced_altitude,142.79999999999995,cadence,82.0
record,timestamp,1092223621,position_lat,467996590,position_long,-916446677.0,distance,1306.75,enhanced_speed,3.079,enhanced_altitude,142.0,cadence,83.0
record,timestamp,1092223624,position_lat,467996146,position_long,-916447811.0,distance,1315.92,enhanced_speed,3.079,enhanced_altitude,142.0,cadence,83.0
record,timestamp,1092223625,position_lat,467996009,position_long,-916448178.0,distance,1318.86,enhanced_speed,3.079,enhanced_altitude,141.79999999999995,cadence,83.0
record,timestamp,1092223632,position_lat,467994897,position_long,-916450490.0,distance,1336.37,enhanced_speed,3.06,enhanced_altitude,141.0,cadence,83.0
record,timestamp,1092223633,position_lat,467994706,position_long,-916450839.0,distance,1339.46,enhanced_speed,3.051,enhanced_altitude,140.79999999999995,cadence,83.0
record,timestamp,1092223636,position_lat,467993958,position_long,-916451964.0,distance,1350.18,enhanced_speed,3.06,enhanced_altitude,140.39999999999998,cadence,83.0
record,timestamp,1092223639,position_lat,467993143,position_long,-916452980.0,distance,1360.74,enhanced_speed,3.088,enhanced_altitude,140.39999999999998,cadence,83.0
record,timestamp,1092223646,position_lat,467991272,position_long,-916454986.0,distance,1382.72,enhanced_speed,3.107,enhanced_altitude,140.20000000000005,cadence,83.0
record,timestamp,1092223647,position_lat,467990983,position_long,-916455269.0,distance,1383.01,enhanced_speed,3.107,enhanced_altitude,140.0,cadence,83.0
record,timestamp,1092223653,position_lat,467989107,position_long,-916456915.0,distance,1404.15,enhanced_speed,3.126,enhanced_altitude,139.79999999999995,cadence,83.0
record,timestamp,1092223654,position_lat,467988798,position_long,-916457126.0,distance,1407.41,enhanced_speed,3.135,enhanced_altitude,139.60000000000002,cadence,82.0
